                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0824,                 1.3964,                 1.4485,                 1.2511,                0.82953,                0.71431,                  0.787,                0.58204,                 0.7988,                0.68079,                0.72814,                0.27634,                0.83922,                0.82025,                0.90698,                 1.0333,               0.070061,              0.0033266,              0.0033266
                      1,                0.92971,                 0.9449,                0.96751,                 1.0961,                0.79603,                0.70837,                0.76586,                0.56618,                0.76029,                 0.6798,                0.70368,                0.24799,                0.88248,                 0.8709,                0.92923,                 1.0545,               0.039995,               0.006594,               0.006594
                      2,                0.98455,                0.95117,                 1.0287,                 1.1093,                0.74155,                0.69064,                0.73573,                0.48525,                0.70472,                0.62956,                0.65374,                0.22936,                 1.0667,                0.81402,                 1.0963,                 1.1253,              0.0098631,              0.0097954,              0.0097954
                      3,                  1.083,                 1.0107,                 1.0711,                 1.1587,                0.74826,                 0.6532,                0.71279,                0.48017,                0.70634,                 0.5948,                0.64064,                0.21935,                 1.0769,                0.84774,                 1.1049,                 1.1643,               0.009703,               0.009703,               0.009703
                      4,                 1.0981,                 0.9402,                 1.0517,                 1.1836,                0.77788,                0.68315,                0.75577,                0.51808,                 0.7917,                0.60197,                0.68177,                0.23278,                 1.0538,                0.85278,                 1.0553,                 1.1583,               0.009703,               0.009703,               0.009703
                      5,                 1.0864,                0.97467,                 1.0239,                 1.1782,                  0.802,                 0.7064,                0.76764,                0.52639,                0.77079,                0.65601,                 0.6894,                0.25082,                 1.0597,                0.84477,                 1.0022,                 1.1557,               0.009604,               0.009604,               0.009604
                      6,                 1.0513,                0.94466,                0.99062,                 1.1645,                0.78558,                0.72315,                0.77875,                0.56327,                 0.7492,                0.70049,                 0.7288,                0.28024,                0.99706,                0.78735,                0.91875,                 1.1249,               0.009505,               0.009505,               0.009505
                      7,                 1.0316,                 0.9276,                0.97257,                 1.1427,                0.77863,                0.72078,                 0.7955,                0.58625,                0.75622,                0.68079,                0.74471,                 0.2832,                 0.9276,                0.79537,                0.91184,                 1.0677,               0.009406,               0.009406,               0.009406
                      8,                 1.0151,                 0.9043,                0.93845,                 1.1382,                0.85575,                0.70722,                0.79737,                0.59036,                0.84388,                0.69951,                0.76562,                0.31486,                0.93007,                0.75363,                0.87615,                 1.0677,               0.009307,               0.009307,               0.009307
                      9,                0.98998,                0.89723,                0.92116,                 1.1313,                0.78101,                0.72383,                 0.7861,                0.57537,                0.75806,                0.69655,                0.73312,                0.29554,                0.92087,                0.76898,                0.89429,                 1.0819,               0.009208,               0.009208,               0.009208
                     10,                  0.977,                0.86831,                0.89538,                 1.1204,                0.80669,                 0.7318,                0.80117,                0.59438,                0.78212,                0.70739,                0.74961,                0.28184,                0.90994,                 0.7929,                0.86086,                 1.0792,               0.009109,               0.009109,               0.009109
                     11,                0.94736,                0.88048,                0.87623,                 1.1113,                0.83172,                0.72414,                0.80919,                0.58437,                0.82394,                0.70443,                0.77163,                0.31199,                0.95326,                0.75902,                0.84761,                 1.1017,                0.00901,                0.00901,                0.00901
                     12,                0.93649,                0.87939,                0.84977,                 1.0994,                0.81776,                0.72063,                0.80593,                0.60671,                0.78733,                0.69302,                0.74589,                0.29804,                0.88113,                0.75332,                0.86106,                 1.0603,               0.008911,               0.008911,               0.008911
                     13,                0.94098,                0.86319,                0.85148,                 1.1014,                0.83247,                0.73924,                0.82554,                0.61534,                0.80754,                0.70148,                0.77435,                0.30434,                0.85538,                0.73989,                0.80256,                 1.0409,               0.008812,               0.008812,               0.008812
                     14,                0.92654,                0.85569,                0.84455,                 1.0978,                0.81787,                0.76098,                0.82734,                 0.6205,                0.80033,                 0.7399,                0.79136,                0.34325,                0.86484,                0.70649,                0.80448,                 1.0429,               0.008713,               0.008713,               0.008713
                     15,                0.90071,                0.83994,                0.81628,                 1.0755,                0.78486,                0.72611,                0.78453,                0.58292,                 0.7683,                0.69912,                0.73453,                0.30187,                 0.9024,                0.75998,                0.88327,                  1.063,               0.008614,               0.008614,               0.008614
                     16,                0.88223,                0.79649,                0.78748,                 1.0819,                0.84207,                0.75122,                 0.8193,                  0.625,                0.82499,                0.72913,                0.77707,                0.33961,                 0.8579,                0.72594,                0.80041,                 1.0478,               0.008515,               0.008515,               0.008515
                     17,                0.89108,                0.83419,                0.81446,                 1.0768,                0.85448,                0.74187,                0.82568,                0.62338,                0.83508,                0.72336,                0.78909,                0.33733,                0.86153,                0.70234,                0.78226,                 1.0543,               0.008416,               0.008416,               0.008416
