                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2546,                 2.4296,                 1.9513,                 1.4348,                0.19064,                0.15433,                0.10635,                0.05327,                0.14666,                0.07882,                0.04305,                0.01222,                 1.8247,                 2.2353,                 3.2023,                 1.9195,               0.070536,              0.0032738,              0.0032738
                      1,                0.94721,                0.86117,                  1.116,                 1.1682,                0.29498,                0.24631,                0.16038,                0.09233,                0.20131,                0.14286,                0.07536,                0.01821,                  1.633,                 1.8442,                 2.7841,                 1.7205,               0.040427,              0.0064981,              0.0064981
                      2,                 1.0282,                0.89674,                 1.1821,                 1.1541,                0.24954,                 0.2266,                 0.1248,                 0.0654,                0.15714,                0.12315,                0.04712,                0.00976,                 1.9033,                 1.7208,                 2.9401,                 1.8398,               0.010208,              0.0096124,              0.0096124
                      3,                 0.9982,                0.79119,                 1.2243,                 1.1473,                0.13045,                0.19704,                0.07343,                0.03692,                0.09704,                0.08374,                0.02148,                 0.0041,                 1.9172,                 1.8577,                 2.9331,                 1.8542,               0.009505,               0.009505,               0.009505
                      4,                 1.0441,                 0.8098,                 1.1612,                  1.168,                0.18583,                0.24631,                0.12065,                0.06109,                0.18542,                0.07389,                0.03994,                0.00716,                 1.9404,                 1.7129,                 3.7664,                 1.8463,               0.009505,               0.009505,               0.009505
                      5,                 1.0419,                0.78685,                 1.0383,                 1.1632,                0.14788,                0.13793,                0.06143,                0.03587,                0.13647,                 0.1133,                0.03544,                0.00865,                 2.0657,                 1.5681,                 3.7653,                 1.9277,                0.00934,                0.00934,                0.00934
                      6,                 1.0572,                0.73714,                 1.0242,                 1.1672,                0.21677,                 0.2236,                0.10991,                0.05438,                0.23129,                0.10345,                0.04162,                0.01326,                 2.0706,                 1.7887,                 3.3756,                 1.9977,               0.009175,               0.009175,               0.009175
                      7,                 1.0358,                0.72938,                 1.0335,                 1.1713,                0.11545,                0.15271,                0.05929,                0.02732,                0.09644,                0.05911,                0.01479,                0.00391,                 2.2761,                 1.6188,                  3.652,                 2.1117,                0.00901,                0.00901,                0.00901
                      8,                 1.0382,                0.73852,                  1.037,                 1.1799,                0.16189,                0.24631,                    0.1,                0.05202,                0.10967,                  0.133,                0.03738,                 0.0113,                 2.0568,                 1.6234,                 3.6663,                  1.947,               0.008845,               0.008845,               0.008845
                      9,                 1.0582,                0.72375,                0.98256,                 1.1864,                0.25443,                 0.2266,                0.13657,                0.06681,                0.15239,                0.14286,                0.05932,                0.01387,                 2.0684,                 1.6295,                 3.1899,                 2.0232,                0.00868,                0.00868,                0.00868
